Pond,Year,Block,Burn History,ff_91_00,ff_00_17,ff_last_8yr,YSB_00,YSB_17,delta_ff,Diameter,Dist. to Permanent wetland (m),Dist. to intermittent wtld (m),Dist. to road (m),Dist. to Ditch (m),Ditch depth 1(m),Ditch depth 2 (m),Ditch depth 3 (m),GPSed,turbidity on 18 Aug 991,turbidity (minnow trapping 1),turbidity on 19 Feb. 2000,Mean Turbidity,pH (minnow trapping 1),pH (19 Feb. 2000),Mean pH,pH (Clemson extension 3-7-00),DO (minnow trapping 1),DO (19 Feb. 2000)1,Mean DO,H2O Temp(C)via pH mino trap'g 1,PO4-P (ppm),K (ppm),Ca (ppm),Mg (ppm),Na (ppm),Cl (ppm),B (ppm),SO4 -S (ppm),NO3-N (ppm),TDS (ppm) (tot. dissolved solid,EC (MMHOS/CM) (electric conduct,HCO3 (MEQ/L),CO3 (MEQ/L),SAR,soil temp st dev(F),soil temp variance (F),soil temp mean (F),2018pH(clemson),2018PO4-P (ppm),2018K (ppm),2018Ca (ppm),2018Mg (ppm),2018Na (ppm),2018Cl (ppm),2018B (ppm),2018SO4 -S (ppm),2018NO3-N (ppm),2018TDS (ppm) (tot. dissolved solid,2018EC (MMHOS/CM) (electric conduct,2018HCO3 (MEQ/L),2018CO3 (MEQ/L),2018SAR,2018Zn,2018Cu,2018Mn,2018RSC,2018leaf litter,Y,X
63,2000,3,3,1,6,2,0.561643836,5.821917808,1,53.9,439,256.3,48.5,46.5,0.27,0.27,0.23,Yes,,2.85,1.5,1.45,4.17,3.72,3.945,5.4,16.3,54.8,35.55,19.1,0.1,0.1,3.4,0.6,3,12.8,0,1,0,26,0.04,0,0,0.4,5.427406,29.45674,63.96311,4.9,<0.02,<0.1,1.1,0.1,3.71,11.29,0,0.2,0,26,0.04,0.1,0,0.92,<0.01,<0.01,<0.01,0.04,271.2,33.21550208,-79.76128456
67,2000,3,5,3,5,1,0.293150685,5.824657534,-2,48.4,56.8,81,108.2,32.2,0.15,0.18,0.215,Yes,,1.49,1.18,0.89,3.95,4.06,4.005,5.2,17,71.3,44.15,18.7,0,0.7,1.2,0.6,4,12.8,0,1,0,19,0.03,0,0,0.7,4.962621,24.62761,63.88675,5,<0.02,<0.1,0.8,0.3,4.97,13.65,0,0.59,1,32,0.05,0,0,1.19,<0.01,<0.01,<0.01,-0.07,285.3,33.20127913,-79.70574482
104,2000,2,3,7,2,0,4.479452055,12.88219178,-7,49.7,45.8,8,237,2.4,0.18,0.12,0.24,Yes,,2.35,9.72,4.023333333,4.38,4.06,4.22,5.4,35.5,67,51.25,20.5,0,0.6,2.1,1,3,12.8,0,1,0,26,0.04,0,0,0.4,5.603514,31.39937,64.56616,5.4,<0.02,<0.1,1.6,0.9,3.24,9.34,0,0.28,0,32,0.05,0.1,0,0.52,<0.01,<0.01,0.07,-0.05,297.7,33.13525988,-79.63803331
105,2000,1,5,3,0,0,4.479452055,22.01643836,-3,51.6,717.6,108.2,105.7,10.4,0.17,0.26,0.26,Yes,,3.2,0.71,1.303333333,3.83,3.71,3.77,4.6,18.7,55.5,37.1,22.1,0,0,0.8,0.5,3,12.8,0,1,0,19,0.03,0,0,0.6,7.086224,50.21457,65.1027,4.4,<0.02,<0.1,0.6,0.4,3.69,11.13,0,0.16,0,38,0.06,0,0,0.91,<0.01,<0.01,<0.01,-0.06,299.5,32.98074658,-79.69252462
112,2000,1,0,4,1,1,4.479452055,1.309589041,-3,44.2,385.8,147.3,70.4,61,0.3,0.23,0.19,Yes,,0.83,5.15,1.993333333,3.87,3.5,3.685,4.4,24,60.3,42.15,21.5,0,0.1,1.5,0.5,4,12.8,0,1,0,32,0.05,0,0,0.7,5.148252,26.5045,63.8332,4.5,<0.02,<0.1,1.9,0.1,4.69,13.57,0,0.3,0,38,0.06,0.1,0,0.88,<0.01,<0.01,<0.01,0,291.6,33.04241482,-79.75163069
175,2000,3,0,3,0,0,7.479452055,25.01643836,-3,39.5,42.6,76.3,117.2,14,0.18,0.18,0.235,Yes,2.5,1.25,0.9,0.716666667,3.44,3.43,3.435,4.4,14.2,76,45.1,21.2,0,0,0.7,0.6,3,12.8,0,1,0,19,0.03,0,0,0.6,13.8429,191.626,72.79141,4.6,<0.02,<0.1,0.2,0.2,2.21,5.37,0,0.22,0,19,0.03,0,0,0.92,<0.01,<0.01,<0.01,-0.02,228.6,33.01956765,-79.65173524
180,2000,3,1,1,0,0,7.479452055,25.01643836,-1,41.2,499,94,48.8,46.8,0.27,0.34,0.25,Yes,,1.96,1.08,1.013333333,3.73,3.86,3.795,4.7,10.5,62.2,36.35,19.7,0,0.3,1.8,1,5,14.9,0,1,0,32,0.05,0,0,0.7,22.86567,522.8388,76.62043,4.6,<0.02,<0.1,1.2,0.7,6.77,21.14,0,0.28,0,45,0.07,0.1,0,1.21,<0.01,<0.01,<0.01,-0.02,214.7,33.13959791,-79.6638626
181,2000,2,1,0,0,0,10,30,0,51.4,500.2,131.6,19.6,2.7,0.22,0.24,0.25,Yes,,0.75,1.05,0.6,3.84,3.67,3.755,4.6,37.7,68.3,53,22.5,0,0.2,1.3,0.7,3,12.8,0,1,0,26,0.04,0,0,0.5,11.12391,123.7413,72.24564,4.6,<0.02,<0.1,1.7,0.9,4.45,13.92,0,0.43,1,38,0.06,0,0,0.69,<0.01,<0.01,<0.01,-0.16,408.23,33.14276168,-79.57228755
182,2000,1,1,0,0,0,10,30,0,43.2,458.9,65,306.4,46.8,0.125,0.07,0.15,Yes,,8.5,1.05,3.183333333,4.62,3.71,4.165,4.9,17.6,53.8,35.7,23.6,0,0.3,0.9,0.5,3,12.8,0,1,0,19,0.03,0,0,0.6,9.428247,88.89184,69.7899,4.8,<0.02,<0.1,1.9,0.4,2.97,6.21,0,1.09,0,26,0.04,0.1,0,0.51,<0.01,<0.01,<0.01,-0.03,384.6,33.12449098,-79.71211807
202,2000,2,8,4,1,1,4.479452055,1.915068493,-3,41.2,108,153.5,48.6,12.7,0.24,0.47,0.295,Yes,,1.63,1.14,0.923333333,3.86,3.5,3.68,4.8,,63.5,,16.4,0,0.7,2.2,0.9,3,10.6,0,1,0,26,0.04,0,0,0.4,5.083688,25.84388,63.548,4.7,<0.02,<0.1,1.9,0.3,2.11,6.18,0,1,1,26,0.04,0.1,0,0.38,<0.01,<0.01,<0.01,-0.02,0,33.02927742,-79.78198365
213,2000,3,8,4,8,4,1.476712329,0.84109589,0,29.6,667.3,402.8,57.5,0,0.2,0.16,0.11,Yes,,21.5,2.16,7.886666667,5.34,5.47,5.405,6.5,17.9,61.1,39.5,18.6,0.4,1.1,21.9,2.3,8,19.1,0,7,0,102,0.16,0.6,0,0.4,5.767092,33.25935,64.61748,6.6,<0.02,<0.1,19.8,1.6,5.73,21.93,0,0.91,0,96,0.15,0.9,0,0.33,<0.01,<0.01,<0.01,-0.22,228.1,32.96445379,-79.84056508
215,2000,1,8,4,9,3,1.476712329,1.698630137,-1,28.3,88.3,41.9,42.1,38.5,0,0.42,0.24,Yes,,2.85,4.72,2.523333333,4.83,4.8,4.815,6.2,20.7,49.3,35,20.3,0,0.6,9.6,2.5,6,14.9,0,2,0,51,0.08,0.3,0,0.4,5.857572,34.31115,64.4336,5.9,<0.02,<0.1,8.6,2.3,7.95,21.61,0,1.35,0,64,0.01,0.4,0,0.62,<0.01,<0.01,0.07,-0.22,87.5,33.03172835,-79.74210245
